"ID","post_title","post_type","guid"
"42345","Le lien syndical n°530 – Juin 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/589/62ac204cca141.pdf"
"42352","Pour une juste répartition des richesses !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/608/62ac372466ab7.pdf"
"42360","Pour une juste répartition des richesses !","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Tract_coordination_23-juin-blanc-2022_page-0001.jpg"
"42364","Coordination CGT Quai Roosevelt : Jeudi 13 juin 2022 : « On se met en grève, on se rassemble et on marche !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62ac6c3736301.pdf"
"42465","001 CP - Communiqué de presse - 20 juin 2022 -","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/001-CP-Communique-de-presse-20-juin-2022-.jpg"
"42473","Coordination CGT Quai Roosevelt : &#34;on fait grève, on se rassemble et on marche !&#34; :","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62b1a5158e320.pdf"
"42476","Rapport de la branche du portage salarial 2022","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/609/62b1b19e99d67.pdf"
"42478","Rapport de la branche du portage salarial 2022","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Rapport-de-Branche-du-portage-salarial-2022_page-0001.jpg"
"42556","BIG BROTHER - Le scandale de la surveillance des données personnelles par Socotec.","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62b97047f3b91.pdf"
"42562","La Bastoche N°203","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/La-Bastoche-n°203-27-JUIN-2022_page-0001.jpg"
"42563","La Bastoche N°203","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62b981aea3c26.pdf"
"42569","BIG BROTHER - Le scandale de la surveillance des données personnelles par Socotec.","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/2022-socotec-rse-big-brother_page-0001.jpg"
"42575","SOPRA STERIA : Appel à toutes et tous les salarié.es","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62b98ca558b4c.pdf"
"42576","SOPRA STERIA : Appel à toutes et tous les salarié.es","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Tract-commun-202206-V-F_page-0001.jpg"
"42580","NAO 2022 APAVE - GRÈVE LE MARDI 21 JUIN","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Tract-N°3-NAO_page-0001.jpg"
"42581","NAO 2022 APAVE - GRÈVE LE MARDI 21 JUIN","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/607/62b9904b65852.pdf"
"42598","L’En’robé n°270","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/BULLETIN-DINFORMATION-CGT-N270-JUIIN-2022-site_page-0001.jpg"
"42599","L’En’robé n°270","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62b9bccf6ac94.pdf"
"42633","Auto’Mag n°133","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62bbfb7fe3a3f.pdf"
"42634","Les officiales n°139","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62bbfb8340280.pdf"
"42635","Auto’Mag n°133","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/auto_mag_133-site_page-0001.jpg"
"42636","Les officiales n°139","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/les-Officiales-n°139-juin-2022-site-doc1_page-0001.jpg"
"42644","SOPRA STERIA : Les prix flambent, les profits aussi, augmentations générales !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62bc4348bdc7a.pdf"
"42645","APAVE en grève à partir du mardi 21 juin !","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/596/62bc434b19343.pdf"
"42646","APAVE en grève à partir du mardi 21 juin !","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/20220621-Communique-de-presse-des-syndicats-de-lAPAVE_page-0001.jpg"
"42647","SOPRA STERIA : Les prix flambent, les profits aussi, augmentations générales !","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Communique-de-presse-commun-202206-F_page-0001.jpg"
"42658","L’écho du Portage n°62","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/echo_portage62.jpg"
"42659","L’écho du Portage n°62","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62bc4f53d4800.pdf"
"42675","Le portage salarial et les travailleur.euse.s de plateformes","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/608/62bd9551018d5.pdf"
"42676","Le portage salarial et les travailleur.euse.s de plateformes","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/06/Ubers.jpg"
"42693","echo-de-la-presta-N°106","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/echo-de-la-presta-N°106.jpg"
"42698","L&#39;écho de la presta N°106","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62bf1eea677bc.pdf"
"42744","L'écho de la presta n°106","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/Lecho-de-la-presta-N°106_page-0001.jpg"
"42746","Les Auctionatores n°107","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/les-Auctionatores-n°107-juillet-2022-site2_page-0001.jpg"
"42747","Les officiales n°140","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/les-Officiales-n°140-juillet-2022-site_page-0001.jpg"
"42748","Perspectives n°240","attachment","https://www.soc-etudes.cgt.fr/wp-content/uploads/2022/07/BULLETIN-DINFORMATION-CGT-N240-JUILLET-2022-BE-site_page-0001.jpg"
"42749","Perspectives n°240","wpfd_file","/home/cgtfrxekng/www/wp-content/uploads/wpfd/606/62c2eb019948d.pdf"
